,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
temp,-0.418081326,0.018853009,-0.051434715,0.282625036,-0.154351443,0.374080373,-0.411332871,-0.639824119
spCond,-0.395251049,-0.257795728,-0.198477733,0.112703636,-0.083896108,-0.010597621,-0.523039328,0.666709416
pH,-0.381769951,0.227190475,0.238153405,-0.470675229,-0.529974531,-0.481922502,-0.043744205,-0.096685681
ODO,-0.207745469,0.666555447,0.323990799,-0.062581975,0.089271617,0.527328592,0.089147771,0.331159967
turb,-0.387432167,-0.212559125,0.232807157,0.577681664,-0.209201225,-0.086544774,0.596296261,0.099876295
fDOM,-0.345847787,0.024721348,-0.744162266,-0.326832931,0.010565317,0.191315311,0.42655612,-0.022751321
CHL,-0.394541335,0.204966739,0.019017837,0.082374002,0.752395433,-0.460807514,-0.053711123,-0.11769146
NO3,0.233882229,0.591160181,-0.433515453,0.484404747,-0.26517727,-0.305273176,-0.083486586,0.052577849
