temp,spCond,pH,ODO,turb,fDOM,CHL,NO3
20.473,1149.78,7.75,97.12,34.95,53.67,4.18,31.65
20.463,1149.91,7.75,96.98,34.72,53.76,4.17,31.73
20.463,1150.18,7.75,96.92,34.65,53.85,4.97,31.43
20.467,1150.57,7.75,96.92,34.9,53.82,4.8,31.56
20.478,1150.91,7.75,96.99,35.05,53.77,4.55,31.85
20.482,1150.94,7.75,97.02,34.97,53.76,4.46,32.14
20.485,1151.05,7.75,97.05,35,53.77,4.43,32.2
20.489,1150.96,7.75,97.08,34.95,53.76,4.4,32.2
20.494,1151.11,7.75,97.12,35,53.76,4.36,31.94
20.5,1151.32,7.75,97.17,35.03,53.79,4.35,32.24
20.508,1151.57,7.75,97.22,35,53.81,4.36,32.07
20.514,1151.66,7.76,97.28,34.89,53.85,4.34,32.41
20.521,1151.7,7.76,97.34,34.85,53.88,4.35,31.79
20.525,1151.93,7.76,97.39,34.86,53.88,4.3,32.08
20.529,1152.12,7.76,97.44,34.84,53.89,4.33,32.05
20.532,1152.24,7.76,97.47,34.86,53.88,4.27,32.12
20.533,1152.37,7.76,97.49,34.95,53.87,4.3,31.83
20.534,1152.57,7.76,97.49,34.94,53.88,4.37,31.84
20.534,1152.81,7.76,97.49,35,53.9,4.38,31.89
20.535,1153.16,7.76,97.49,34.77,53.92,4.35,31.89
20.537,1153.61,7.76,97.49,34.86,53.94,4.36,31.9
20.537,1153.85,7.76,97.48,35.22,53.93,4.38,31.64
20.537,1154.04,7.76,97.47,35.14,53.91,4.43,31.71
20.537,1154.4,7.76,97.46,35.48,53.91,4.57,32
20.537,1154.69,7.76,97.44,36.13,53.92,4.65,31.6
20.538,1154.95,7.76,97.42,36.09,53.94,4.74,31.71
20.539,1155.23,7.76,97.4,35.94,53.95,4.76,32.12
20.541,1155.51,7.76,97.37,35.93,53.93,4.72,31.68
20.543,1155.86,7.76,97.36,35.9,53.9,4.64,32.12
20.544,1156.12,7.76,97.35,35.83,53.85,4.6,31.72
20.546,1156.49,7.76,97.34,35.98,53.82,4.53,31.88
20.548,1156.52,7.76,97.33,35.98,53.79,4.41,31.86
20.55,1156.42,7.76,97.32,36.17,53.75,4.34,32.04
20.551,1156.4,7.76,97.33,36.19,53.74,4.3,31.81
20.554,1156.5,7.76,97.34,36.22,53.71,4.26,32.15
20.558,1156.38,7.76,97.35,36.09,53.68,4.24,31.78
20.563,1156.44,7.76,97.38,36.15,53.66,4.28,31.74
20.568,1156.54,7.76,97.42,35.92,53.64,4.35,31.72
20.573,1156.82,7.76,97.46,35.97,53.68,4.39,31.7
20.577,1157.24,7.76,97.52,35.66,53.7,4.54,31.69
20.578,1157.58,7.76,97.54,35.75,53.71,4.65,31.95
20.577,1157.95,7.76,97.54,35.9,53.71,4.68,31.83
20.576,1158.41,7.76,97.52,35.92,53.72,4.7,32.05
20.574,1158.92,7.76,97.5,35.81,53.72,4.7,31.78
20.573,1159.63,7.76,97.42,35.83,53.69,4.48,32.02
20.584,1159.06,7.77,97.42,36.58,53.55,4.33,31.71
20.598,1159.82,7.77,97.5,36.52,53.49,4.36,31.99
20.601,1160.01,7.77,97.53,36.48,53.49,4.34,31.64
20.603,1160.11,7.77,97.53,36.39,53.51,4.36,31.99
20.604,1160.17,7.77,97.54,36.37,53.54,4.39,31.69
20.603,1160.15,7.77,97.52,36.27,53.55,4.42,32.04
20.601,1160.15,7.77,97.5,36.23,53.59,4.42,32.09
20.6,1160.19,7.77,97.49,36.13,53.63,4.45,31.58
20.599,1160.46,7.77,97.47,36.32,53.64,4.48,32.21
20.6,1160.68,7.77,97.45,36.35,53.67,4.47,31.69
20.6,1161.04,7.77,97.44,34.68,53.67,4.42,31.7
20.604,1161.77,7.77,97.44,35.77,53.7,4.39,31.75
20.606,1162.05,7.77,97.44,35.86,53.71,4.4,32.32
20.618,1163.05,7.77,97.52,35.7,53.77,4.42,31.92
20.619,1163.11,7.77,97.52,35.66,53.78,4.43,31.49
20.62,1163.19,7.77,97.53,35.62,53.78,4.44,31.64
20.622,1163.19,7.77,97.53,35.56,53.78,4.45,32.01
20.634,1163.8,7.78,97.56,35.62,53.75,4.54,31.99
20.636,1163.93,7.78,97.56,35.52,53.76,4.54,31.75
20.639,1164.11,7.78,97.57,35.67,53.75,4.55,31.9
20.642,1164.3,7.78,97.57,35.81,53.73,4.54,31.98
20.645,1164.55,7.78,97.58,35.92,53.68,4.5,31.86
20.647,1164.86,7.78,97.58,35.9,53.67,4.45,31.63
20.649,1165.06,7.78,97.59,35.95,53.67,4.4,31.65
20.65,1165.38,7.78,97.59,35.99,53.67,4.35,31.76
20.651,1165.63,7.78,97.59,36.11,53.66,4.3,31.98
20.65,1166.03,7.78,97.57,36.45,53.65,4.19,31.56
20.649,1166.19,7.78,97.56,36.51,53.62,4.2,31.79
20.648,1166.35,7.78,97.55,36.58,53.61,4.2,31.71
20.647,1166.5,7.78,97.54,36.73,53.6,4.22,31.52
20.645,1166.67,7.78,97.52,36.93,53.59,4.25,32.11
20.643,1166.75,7.78,97.51,36.88,53.58,4.28,31.73
20.639,1166.87,7.78,97.49,37.64,53.56,4.32,31.84
20.632,1167,7.78,97.43,36.52,53.56,4.45,32.16
20.631,1167.14,7.78,97.42,36.8,53.54,4.49,31.67
20.629,1167.22,7.78,97.4,36.84,53.53,4.5,31.74
20.629,1167.27,7.78,97.39,36.89,53.56,4.51,31.9
20.628,1167.47,7.78,97.37,36.84,53.58,4.51,31.84
20.627,1167.53,7.78,97.36,36.68,53.61,4.52,31.8
20.626,1167.61,7.78,97.35,36.83,53.61,4.51,31.7
20.626,1167.74,7.78,97.34,36.85,53.62,4.5,31.62
20.626,1167.75,7.78,97.34,36.87,53.62,4.5,31.83
20.627,1167.88,7.78,97.33,36.9,53.61,4.5,31.78
20.633,1169,7.78,97.31,37.03,53.62,4.4,31.71
20.635,1170.53,7.78,97.28,36.96,53.59,4.37,31.54
20.641,1171.98,7.78,97.25,36.69,53.53,4.4,31.8
20.66,1172.8,7.78,97.39,36.47,53.59,4.8,31.77
20.663,1172.91,7.78,97.42,36.6,53.57,4.79,31.94
20.663,1173,7.78,97.44,36.76,53.56,4.75,31.86
20.665,1173.14,7.78,97.46,36.8,53.54,4.7,32.01
20.667,1173.26,7.78,97.47,36.87,53.54,4.65,31.98
20.67,1173.41,7.78,97.49,37,53.54,4.59,31.88
20.675,1173.62,7.78,97.53,37.26,53.53,4.48,31.78
20.677,1173.74,7.78,97.56,37.33,53.49,4.48,31.51
20.677,1174.03,7.78,97.57,37.43,53.45,4.49,31.91
20.676,1174.23,7.78,97.55,37.58,53.42,4.52,31.43
20.672,1174.26,7.78,97.51,37.56,53.39,4.49,31.83
20.664,1174.2,7.78,97.45,37.42,53.38,4.46,31.73
20.66,1174.27,7.78,97.42,37.41,53.39,4.45,31.82
20.658,1174.4,7.78,97.37,37.46,53.41,4.45,31.44
20.657,1174.53,7.78,97.34,37.45,53.4,4.46,31.52
20.657,1174.73,7.78,97.29,37.51,53.41,4.47,31.61
20.658,1174.9,7.78,97.25,37.52,53.39,4.5,31.81
20.66,1175.06,7.78,97.23,37.45,53.42,4.56,31.89
20.662,1175.24,7.78,97.21,37.56,53.44,4.64,31.78
20.665,1175.47,7.78,97.2,37.62,53.42,4.67,31.51
20.666,1175.52,7.78,97.19,37.79,53.44,4.61,31.77
20.666,1175.62,7.78,97.18,37.7,53.41,4.59,31.96
20.666,1175.56,7.78,97.17,37.77,53.4,4.57,31.81
20.666,1175.74,7.78,97.16,37.84,53.35,4.51,31.65
20.664,1175.9,7.78,97.13,37.85,53.35,4.45,31.21
20.663,1176.03,7.78,97.11,37.96,53.33,4.56,31.55
20.663,1176.05,7.78,97.08,38,53.33,4.7,31.6
20.663,1176.12,7.78,97.07,38.09,53.31,4.79,31.36
20.663,1176.12,7.78,97.04,38.17,53.3,4.92,31.77
20.662,1176.2,7.78,97.02,38.18,53.31,5.09,31.45
20.661,1176.21,7.78,97,36.66,53.33,5.24,31.32
20.661,1176.13,7.78,96.99,37.97,53.34,5.32,31.49
20.661,1176.13,7.78,96.98,38.52,53.35,5.33,31.45
20.661,1176.14,7.78,96.97,38.7,53.36,5.35,32.03
20.661,1176.13,7.78,96.96,38.98,53.38,5.31,31.36
20.661,1176.15,7.78,96.96,38.88,53.37,5.18,31.47
20.662,1176.15,7.78,96.95,38.9,53.37,5.08,31.85
20.663,1176.16,7.78,96.96,38.69,53.36,5.03,31.46
20.664,1176.17,7.78,96.96,38.57,53.38,4.99,31.68
20.664,1176.12,7.78,96.96,38.58,53.37,4.93,31.76
20.664,1176.24,7.78,96.96,38.51,53.34,4.91,31.54
20.663,1176.27,7.78,96.95,38.39,53.34,4.93,31.66
20.662,1176.17,7.78,96.95,38.32,53.34,4.94,31.77
20.661,1176.1,7.78,96.95,38.13,53.33,5.01,31.73
20.66,1176.05,7.78,96.94,36.64,53.29,5.06,31.72
20.66,1176.15,7.78,96.94,39.71,53.25,5.09,31.84
20.661,1175.96,7.78,96.93,38.43,53.07,4.78,31.61
20.652,1175.92,7.78,96.87,39.43,52.73,4.7,31.6
