temp,spCond,pH,ODO,turb,fDOM,CHL,NO3,cluster,SUBcluster
14.577,197.82,7.58,104.38,11.13,25.78,0.98,17.33,2,3
14.595,199.4,7.58,104.42,11.11,25.83,1.01,17.61,2,3
14.613,201.26,7.58,104.45,11.18,25.89,1.01,17.67,2,3
14.631,202.99,7.58,104.47,11.21,25.97,1.03,17.81,2,3
14.647,204.54,7.58,104.49,11.21,26.06,1.04,18.08,2,3
14.662,206.02,7.58,104.49,11.25,26.17,1.07,18.4,2,3
14.675,207.35,7.58,104.49,11.32,26.26,1.1,18.39,2,3
14.684,208.3,7.58,104.48,11.3,26.33,1.09,18.24,2,3
14.686,208.52,7.58,104.45,11.38,26.33,1.09,18.49,2,3
14.683,208.26,7.59,104.41,11.37,26.34,1.07,18.5,2,3
14.671,207.29,7.59,104.34,11.36,26.33,1.07,18.49,2,3
14.657,205.88,7.59,104.29,11.35,26.28,1.04,18.2,2,3
14.638,204.18,7.59,104.23,11.3,26.27,1.04,17.98,2,3
14.618,202.31,7.59,104.18,11.26,26.2,1.04,17.82,2,3
14.599,200.49,7.59,104.15,11.26,26.12,1.03,17.84,2,3
14.582,198.8,7.6,104.12,11.28,26.02,1.02,17.65,2,3
14.566,197.17,7.6,104.11,11.22,25.91,1,17.55,2,3
14.549,195.51,7.6,104.1,11.25,25.81,0.97,17.34,2,3
14.53,193.56,7.6,104.09,11.22,25.74,0.95,17.13,2,3
14.511,191.6,7.6,104.08,11.22,25.63,0.94,17.06,2,3
14.497,190.17,7.6,104.08,11.2,25.55,0.94,16.52,2,3
14.484,188.98,7.6,104.12,11.13,25.5,0.94,16.64,2,3
14.484,188.92,7.6,104.16,11.16,25.47,0.96,16.53,2,3
14.489,189.41,7.6,104.22,11.09,25.46,0.96,16.78,2,3
14.5,190.55,7.6,104.28,11.02,25.48,0.98,16.74,2,3
14.517,192.15,7.6,104.34,11,25.52,0.99,16.91,2,3
14.542,194.52,7.59,104.4,11.13,25.57,1,17.02,2,3
14.561,196.35,7.59,104.43,11.15,25.65,1.02,17.24,2,3
14.577,197.82,7.59,104.46,11.29,25.74,1.03,17.41,2,3
14.591,199.09,7.59,104.46,11.29,25.82,1.03,17.66,2,3
14.604,200.26,7.59,104.47,11.31,25.88,1.04,17.71,2,3
14.616,201.23,7.59,104.47,11.32,25.95,1.04,17.8,2,3
14.628,202.17,7.59,104.48,11.42,26.03,1.04,17.78,2,3
14.641,202.91,7.59,104.48,11.44,26.07,1.03,17.69,2,3
14.645,203.19,7.59,104.47,11.47,26.09,1.04,18.03,2,3
14.647,203.21,7.59,104.45,11.44,26.1,1.04,18,2,3
14.656,203.74,7.59,104.46,11.39,26.13,1.05,18.01,2,3
14.666,204.32,7.59,104.48,11.43,26.15,1.05,17.86,2,3
14.672,204.64,7.59,104.49,11.45,26.17,1.06,17.9,2,3
14.674,204.67,7.59,104.47,11.47,26.21,1.07,18,2,3
14.672,204.48,7.59,104.46,11.44,26.21,1.06,18.06,2,3
14.639,201.97,7.6,104.33,11.18,26.13,0.99,17.9,2,3
14.568,196.42,7.6,104.2,11.09,25.93,1,17.36,2,3
14.558,195.78,7.6,104.26,11.13,25.8,1,17.28,2,3
14.563,196.28,7.6,104.29,11.14,25.79,0.99,17.24,2,3
14.569,196.82,7.6,104.33,11.07,25.81,0.99,17.55,2,3
14.577,197.33,7.6,104.35,11.06,25.85,0.99,17.4,2,3
14.583,197.74,7.6,104.36,11.05,25.87,0.99,17.42,2,3
14.588,198.15,7.6,104.37,11.06,25.9,0.99,17.47,2,3
14.592,198.4,7.6,104.37,11.06,25.91,1,17.67,2,3
14.595,198.59,7.6,104.36,11.06,25.92,0.99,17.63,2,3
14.596,198.77,7.6,104.36,11.08,25.93,1.01,17.61,2,3
14.595,198.78,7.6,104.34,11.23,25.96,1.02,17.65,2,3
14.593,198.78,7.6,104.33,11.23,25.97,1.02,17.63,2,3
14.592,198.8,7.6,104.32,11.31,25.97,1.01,17.7,2,3
14.592,198.7,7.6,104.3,11.26,25.95,1.01,17.59,2,3
14.59,198.59,7.6,104.29,11.3,25.94,0.97,17.55,2,3
14.585,198.15,7.6,104.27,11.28,25.93,0.96,17.66,2,3
14.583,197.78,7.6,104.26,11.32,25.93,0.97,17.59,2,3
14.581,197.59,7.6,104.26,11.25,25.91,0.99,17.66,2,3
